question,answer
1,B
2,B
3,B
4,C
5,A
6,A
7,B
8,A
9,B
10,A
11,B
12,A
13,B
14,A
15,B
16,A
17,B
18,A
19,B
20,A
21,B
22,A
23,B
24,A
25,B
26,A
27,B
28,A
29,B
30,A
31,B
32,A
33,B
34,A
35,B
36,A
37,B
38,A
39,B
40,C
41,D
42,E
43,D
44,C
45,B
46,A
47,B
48,C
49,D
50,E
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
